city,position,company_name,company_size,company_type,company_industry,salary,education,ability,experience
厦门·湖里·殿前,Java工程师(J10209),厦门汉印股份有限公司,1000-9999人,民营,电子设备制造,12500.0,本科,JavaScript,3-5年
厦门·湖里·禾山,java工程师助理,厦门瀚海潮升科技有限公司,20-99人, ,计算机软件,3000.0,本科,JavaScript,无经验
厦门·思明·莲前,中高级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,18000.0,本科,JavaScript Spring MySQL,5-10年
厦门·湖里·禾山,（技术岗）中级Java工程师,福州无比欢信息科技有限公司,100-299人,民营,计算机软件,11500.0,本科,JavaScript Python Spring MySQL,3-5年
厦门·湖里·禾山,java工程师,厦门瀚海潮升科技有限公司,20-99人, ,计算机软件,6000.0,本科, ,1-3年
厦门·集美·后溪,高级java工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,16500.0,本科,MySQL SAAS系统开发经验者 Netty,5-10年
厦门·海沧·嵩屿,java开发工程师,福建发发发石油有限公司,20-99人, ,电子商务,3500.0,学历不限,后端开发 Java MySQL,经验不限
厦门·翔安·凤翔,java工程师,上海利策科技股份有限公司,100-299人,合资,石油/石化,11500.0,本科,Redis Spring Mybatis MongoDB Oracle JavaScript,3-5年
厦门·集美·后溪,java 工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,互联网,16000.0,本科,JavaScript,3-5年
